,District,Conf,Act,Rec,Des
0,Unassigned,0,0,0,0
1,Nicobars,0,0,0,0
2,North and Middle Andaman,0,0,0,0
3,South Andaman,0,0,0,0
4,Unknown,0,0,0,0
5,Foreign Evacuees,0,0,0,0
6,Anantapur,0,0,0,0
7,Chittoor,0,0,0,0
8,East Godavari,0,0,0,0
9,Guntur,0,0,0,0
10,Krishna,0,0,0,0
11,Kurnool,0,0,0,0
12,Other State,0,0,0,0
13,Prakasam,0,0,0,0
14,S.P.S. Nellore,0,0,0,0
15,Srikakulam,0,0,0,0
16,Visakhapatnam,0,0,0,0
17,Vizianagaram,0,0,0,0
18,West Godavari,0,0,0,0
19,Y.S.R. Kadapa,0,0,0,0
20,Anjaw,0,0,0,0
21,Changlang,0,0,0,0
22,East Kameng,0,0,0,0
23,East Siang,0,0,0,0
24,Kamle,0,0,0,0
25,Kra Daadi,0,0,0,0
26,Kurung Kumey,0,0,0,0
27,Lepa Rada,0,0,0,0
28,Lohit,0,0,0,0
29,Longding,0,0,0,0
30,Lower Dibang Valley,0,0,0,0
31,Lower Siang,0,0,0,0
32,Lower Subansiri,0,0,0,0
33,Namsai,0,0,0,0
34,Pakke Kessang,0,0,0,0
35,Papum Pare,0,0,0,0
36,Shi Yomi,0,0,0,0
37,Siang,0,0,0,0
38,Tawang,0,0,0,0
39,Tirap,0,0,0,0
40,Upper Dibang Valley,0,0,0,0
41,Upper Siang,0,0,0,0
42,Upper Subansiri,0,0,0,0
43,West Kameng,0,0,0,0
44,West Siang,0,0,0,0
45,Airport Quarantine,0,0,0,0
46,Baksa,0,0,0,0
47,Barpeta,0,0,0,0
48,Biswanath,0,0,0,0
49,Bongaigaon,0,0,0,0
50,Cachar,0,0,0,0
51,Charaideo,0,0,0,0
52,Chirang,0,0,0,0
53,Darrang,0,0,0,0
54,Dhemaji,0,0,0,0
55,Dhubri,0,0,0,0
56,Dibrugarh,0,0,0,0
57,Dima Hasao,0,0,0,0
58,Goalpara,0,0,0,0
59,Golaghat,0,0,0,0
60,Hailakandi,0,0,0,0
61,Hojai,0,0,0,0
62,Jorhat,0,0,0,0
63,Kamrup,0,0,0,0
64,Kamrup Metropolitan,0,0,0,0
65,Karbi Anglong,0,0,0,0
66,Karimganj,0,0,0,0
67,Kokrajhar,0,0,0,0
68,Lakhimpur,0,0,0,0
69,Majuli,0,0,0,0
70,Morigaon,0,0,0,0
71,Nagaon,0,0,0,0
72,Nalbari,0,0,0,0
73,Other State,0,0,0,0
74,Sivasagar,0,0,0,0
75,Sonitpur,0,0,0,0
76,South Salmara Mankachar,0,0,0,0
77,Tinsukia,0,0,0,0
78,Udalguri,0,0,0,0
79,West Karbi Anglong,0,0,0,0
80,Unknown,0,0,0,0
81,Araria,0,0,0,0
82,Arwal,0,0,0,0
83,Aurangabad,0,0,0,0
84,Banka,0,0,0,0
85,Begusarai,0,0,0,0
86,Bhagalpur,0,0,0,0
87,Bhojpur,0,0,0,0
88,Buxar,0,0,0,0
89,Darbhanga,0,0,0,0
90,East Champaran,0,0,0,0
91,Gaya,0,0,0,0
92,Gopalganj,0,0,0,0
93,Jamui,0,0,0,0
94,Jehanabad,0,0,0,0
95,Kaimur,0,0,0,0
96,Katihar,0,0,0,0
97,Khagaria,0,0,0,0
98,Kishanganj,0,0,0,0
99,Lakhisarai,0,0,0,0
100,Madhepura,0,0,0,0
101,Madhubani,0,0,0,0
102,Munger,0,0,0,0
103,Muzaffarpur,0,0,0,0
104,Nalanda,0,0,0,0
105,Nawada,0,0,0,0
106,Patna,0,0,0,0
107,Purnia,0,0,0,0
108,Rohtas,0,0,0,0
109,Saharsa,0,0,0,0
110,Samastipur,0,0,0,0
111,Saran,0,0,0,0
112,Sheikhpura,0,0,0,0
113,Sheohar,0,0,0,0
114,Sitamarhi,0,0,0,0
115,Siwan,0,0,0,0
116,Supaul,0,0,0,0
117,Vaishali,0,0,0,0
118,West Champaran,0,0,0,0
119,Chandigarh,0,0,0,0
120,Other State,0,0,0,0
121,Balod,0,0,0,0
122,Baloda Bazar,0,0,0,0
123,Balrampur,0,0,0,0
124,Bametara,0,0,0,0
125,Bastar,0,0,0,0
126,Bijapur,0,0,0,0
127,Bilaspur,0,0,0,0
128,Dakshin Bastar Dantewada,0,0,0,0
129,Dhamtari,0,0,0,0
130,Durg,0,0,0,0
131,Gariaband,0,0,0,0
132,Janjgir Champa,0,0,0,0
133,Jashpur,0,0,0,0
134,Kabeerdham,0,0,0,0
135,Kondagaon,0,0,0,0
136,Korba,0,0,0,0
137,Koriya,0,0,0,0
138,Mahasamund,0,0,0,0
139,Mungeli,0,0,0,0
140,Narayanpur,0,0,0,0
141,Raigarh,0,0,0,0
142,Raipur,0,0,0,0
143,Rajnandgaon,0,0,0,0
144,Sukma,0,0,0,0
145,Surajpur,0,0,0,0
146,Surguja,0,0,0,0
147,Uttar Bastar Kanker,0,0,0,0
148,Gaurela Pendra Marwahi,0,0,0,0
149,Central Delhi,0,0,0,0
150,East Delhi,0,0,0,0
151,New Delhi,0,0,0,0
152,North Delhi,0,0,0,0
153,North East Delhi,0,0,0,0
154,North West Delhi,0,0,0,0
155,Shahdara,0,0,0,0
156,South Delhi,0,0,0,0
157,South East Delhi,0,0,0,0
158,South West Delhi,0,0,0,0
159,West Delhi,0,0,0,0
160,Unknown,0,0,0,0
161,Other State,0,0,0,0
162,Dadra and Nagar Haveli,0,0,0,0
163,Daman,0,0,0,0
164,Diu,0,0,0,0
165,Other State,0,0,0,0
166,North Goa,0,0,0,0
167,South Goa,0,0,0,0
168,Unknown,0,0,0,0
169,Other State,0,0,0,0
170,Ahmedabad,0,0,0,0
171,Amreli,0,0,0,0
172,Anand,0,0,0,0
173,Aravalli,0,0,0,0
174,Banaskantha,0,0,0,0
175,Bharuch,0,0,0,0
176,Bhavnagar,0,0,0,0
177,Botad,0,0,0,0
178,Chhota Udaipur,0,0,0,0
179,Dahod,0,0,0,0
180,Dang,0,0,0,0
181,Devbhumi Dwarka,0,0,0,0
182,Gandhinagar,0,0,0,0
183,Gir Somnath,0,0,0,0
