,0,0,0,0
0,Total India,456014,258600,14483
1,Andaman and Nicobar Islands,50,40,0
2,Andra Pradesh,9834,4592,119
3,Arunachal Pradesh,158,38,0
4,Assam,5955,3763,8
5,Bihar,8050,6027,54
6,Chandigarh,418,322,6
7,Chhattisgarh,2385,1527,12
8,Dadra and Nagar Haveli,123,27,0
9,Daman and Diu,0,0,0
10,Delhi,66602,39313,2301
11,Goa,909,205,2
12,Gujarat,28429,20521,1711
13,Haryana,11520,6497,178
14,Himachal Pradesh,775,433,7
15,Jammu and Kashmir,6236,3642,87
16,Jharkhand,2193,1520,11
17,Karnataka,9721,6004,152
18,Kerala,3452,1807,23
19,Ladakh,932,148,1
20,Lakshadweep,0,0,0
21,Madhya Pradesh,12261,9335,526
22,Maharashtra,139010,69631,6530
23,Manipur,921,258,0
24,Meghalaya,46,41,1
25,Mizoram,142,19,0
26,Nagaland,330,141,0
27,Odisha,5470,3988,24
28,Puducherry,402,165,9
29,Punjab,4397,3047,105
30,Rajasthan,15627,12213,365
31,Sikkim,79,30,0
32,Tamil Nadu,64603,35339,833
33,Telangana,9553,4224,220
34,Tripura,1263,807,1
35,Uttar Pradesh,18893,12116,588
36,Uttarakhand,2535,1602,30
37,West Bengal,14728,9218,580
